,InvoiceNo,StockCode,Description,Quantity,InvoiceDate,UnitPrice,CustomerID,Country
1109,536527,22809,SET OF 6 T-LIGHTS SANTA,6,12/1/2010 13:04,2.95,12662.0,Germany
1110,536527,84347,ROTATING SILVER ANGELS T-LIGHT HLDR,6,12/1/2010 13:04,2.55,12662.0,Germany
1111,536527,84945,MULTI COLOUR SILVER T-LIGHT HOLDER,12,12/1/2010 13:04,0.85,12662.0,Germany
1112,536527,22242,5 HOOK HANGER MAGIC TOADSTOOL,12,12/1/2010 13:04,1.65,12662.0,Germany
1113,536527,22244,3 HOOK HANGER MAGIC GARDEN,12,12/1/2010 13:04,1.95,12662.0,Germany
1114,536527,22243,5 HOOK HANGER RED MAGIC TOADSTOOL,12,12/1/2010 13:04,1.65,12662.0,Germany
1115,536527,47421,ASSORTED COLOUR LIZARD SUCTION HOOK,24,12/1/2010 13:04,0.42,12662.0,Germany
1116,536527,20712,JUMBO BAG WOODLAND ANIMALS,10,12/1/2010 13:04,1.95,12662.0,Germany
1117,536527,20713,JUMBO BAG OWLS,10,12/1/2010 13:04,1.95,12662.0,Germany
1118,536527,22837,HOT WATER BOTTLE BABUSHKA ,4,12/1/2010 13:04,4.65,12662.0,Germany
1119,536527,22969,HOMEMADE JAM SCENTED CANDLES,12,12/1/2010 13:04,1.45,12662.0,Germany
1120,536527,22973,CHILDREN'S CIRCUS PARADE MUG,12,12/1/2010 13:04,1.65,12662.0,Germany
1121,536527,84569B,PACK 3 FIRE ENGINE/CAR PATCHES,12,12/1/2010 13:04,1.25,12662.0,Germany
1122,536527,22549,PICTURE DOMINOES,12,12/1/2010 13:04,1.45,12662.0,Germany
1123,536527,POST,POSTAGE,1,12/1/2010 13:04,18.0,12662.0,Germany
1973,C536548,22244,3 HOOK HANGER MAGIC GARDEN,-4,12/1/2010 14:33,1.95,12472.0,Germany
1974,C536548,22242,5 HOOK HANGER MAGIC TOADSTOOL,-5,12/1/2010 14:33,1.65,12472.0,Germany
1975,C536548,20914,SET/5 RED RETROSPOT LID GLASS BOWLS,-1,12/1/2010 14:33,2.95,12472.0,Germany
1976,C536548,22892,SET OF SALT AND PEPPER TOADSTOOLS,-7,12/1/2010 14:33,1.25,12472.0,Germany
1977,C536548,22654,DELUXE SEWING KIT ,-1,12/1/2010 14:33,5.95,12472.0,Germany
1978,C536548,22767,TRIPLE PHOTO FRAME CORNICE ,-2,12/1/2010 14:33,9.95,12472.0,Germany
1979,C536548,22333,RETROSPOT PARTY BAG + STICKER SET,-1,12/1/2010 14:33,1.65,12472.0,Germany
1980,C536548,22245,"HOOK, 1 HANGER ,MAGIC GARDEN",-2,12/1/2010 14:33,0.85,12472.0,Germany
1981,C536548,22077,6 RIBBONS RUSTIC CHARM,-6,12/1/2010 14:33,1.65,12472.0,Germany
1982,C536548,22631,CIRCUS PARADE LUNCH BOX ,-1,12/1/2010 14:33,1.95,12472.0,Germany
1983,C536548,22168,ORGANISER WOOD ANTIQUE WHITE ,-2,12/1/2010 14:33,8.5,12472.0,Germany
1984,C536548,21218,RED SPOTTY BISCUIT TIN,-3,12/1/2010 14:33,3.75,12472.0,Germany
1985,C536548,20957,PORCELAIN HANGING BELL SMALL,-1,12/1/2010 14:33,1.45,12472.0,Germany
1986,C536548,22580,ADVENT CALENDAR GINGHAM SACK,-4,12/1/2010 14:33,5.95,12472.0,Germany
3338,C536622,22752,SET 7 BABUSHKA NESTING BOXES,-2,12/2/2010 10:37,8.5,12471.0,Germany
5063,536840,22961,JAM MAKING SET PRINTED,12,12/2/2010 18:27,1.45,12738.0,Germany
5064,536840,22962,JAM JAR WITH PINK LID,12,12/2/2010 18:27,0.85,12738.0,Germany
5065,536840,22963,JAM JAR WITH GREEN LID,12,12/2/2010 18:27,0.85,12738.0,Germany
5066,536840,22776,SWEETHEART CAKESTAND 3 TIER,1,12/2/2010 18:27,9.95,12738.0,Germany
5067,536840,22952,60 CAKE CASES VINTAGE CHRISTMAS,24,12/2/2010 18:27,0.55,12738.0,Germany
5068,536840,22077,6 RIBBONS RUSTIC CHARM,12,12/2/2010 18:27,1.65,12738.0,Germany
5069,536840,22215,CAKE STAND WHITE TWO TIER LACE,2,12/2/2010 18:27,8.5,12738.0,Germany
5070,536840,21977,PACK OF 60 PINK PAISLEY CAKE CASES,24,12/2/2010 18:27,0.55,12738.0,Germany
5071,536840,84991,60 TEATIME FAIRY CAKE CASES,24,12/2/2010 18:27,0.55,12738.0,Germany
5072,536840,21212,PACK OF 72 RETROSPOT CAKE CASES,24,12/2/2010 18:27,0.55,12738.0,Germany
5073,536840,POST,POSTAGE,1,12/2/2010 18:27,18.0,12738.0,Germany
5360,536861,22149,FELTCRAFT 6 FLOWER FRIENDS,6,12/3/2010 10:44,2.1,12427.0,Germany
5361,536861,22077,6 RIBBONS RUSTIC CHARM,12,12/3/2010 10:44,1.65,12427.0,Germany
5362,536861,21249,WOODLAND  HEIGHT CHART STICKERS ,6,12/3/2010 10:44,2.95,12427.0,Germany
5363,536861,22636,CHILDS BREAKFAST SET CIRCUS PARADE,8,12/3/2010 10:44,7.65,12427.0,Germany
5364,536861,22634,CHILDS BREAKFAST SET SPACEBOY ,8,12/3/2010 10:44,8.5,12427.0,Germany
5365,536861,22301,COFFEE MUG CAT + BIRD DESIGN,6,12/3/2010 10:44,2.55,12427.0,Germany
5366,536861,22300,COFFEE MUG DOG + BALL DESIGN,6,12/3/2010 10:44,2.55,12427.0,Germany
5367,536861,21328,BALLOONS  WRITING SET ,12,12/3/2010 10:44,1.65,12427.0,Germany
5368,536861,21329,DINOSAURS  WRITING SET ,12,12/3/2010 10:44,1.65,12427.0,Germany
5369,536861,POST,POSTAGE,3,12/3/2010 10:44,18.0,12427.0,Germany
6602,536967,POST,POSTAGE,1,12/3/2010 12:57,18.0,12600.0,Germany
6603,536967,85099B,JUMBO BAG RED RETROSPOT,30,12/3/2010 12:57,1.95,12600.0,Germany
6965,536983,22331,WOODLAND PARTY BAG + STICKER SET,8,12/3/2010 14:30,1.65,12712.0,Germany
6966,536983,22865,HAND WARMER OWL DESIGN,12,12/3/2010 14:30,2.1,12712.0,Germany
6967,536983,22171,3 HOOK PHOTO SHELF ANTIQUE WHITE,4,12/3/2010 14:30,8.5,12712.0,Germany
6968,536983,22926,IVORY GIANT GARDEN THERMOMETER,4,12/3/2010 14:30,5.95,12712.0,Germany
6969,536983,22914,BLUE COAT RACK PARIS FASHION,3,12/3/2010 14:30,4.95,12712.0,Germany
6970,536983,84849D,HOT BATHS SOAP HOLDER,12,12/3/2010 14:30,1.69,12712.0,Germany
6971,536983,22445,PENCIL CASE LIFE IS BEAUTIFUL,6,12/3/2010 14:30,2.95,12712.0,Germany
